"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"377 ","강원도 삼척시청","폐광지역 저소득층 대학생 학자금 지원","지자체(출자출연기관)","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학기 12학점 이상 및 백분위 점수 70점 이상○ 신입생의 경우 관계없음※ 자세한 사항은 첨부파일 참조","○ 기초생활수급·차상위계층 복지증명서 발급자○ 한국장학재단 학자금 지원구간 중 1~5구간 해당자 (기준 중위소득 100% 이하)","○ 등록금 등 학기당 300만원 한도 내(학생회비/ 기숙사비 등 제외)※ 자세한 사항은 첨부파일 참조","○ 대학교(전문대 포함) 재학중이거나 입학한 자","○ 학생 본인 또는 부모가 공고일 기준 6개월 이전부터 폐광지역 내에 주민등록이 되어 있는 자○ 관할 읍·면·동 주민센터에서 실제 거주여부가 확인되는 자※ 자세한 사항은 첨부파일 참조","※ 자세한 사항은 첨부파일 참조","※ 자세한 사항은 첨부파일 참조","○ 학기 중 학적변동(휴학·자퇴·퇴학 등)으로 학업을 중단하는 경우○ 기타 환수사유 발생시 지원 학자금 즉시 환수○ 평생교육원·외국소재 대학 등 제외※ 자세한 사항은 첨부파일 참조","해당없음","○ 학자금 신청서○ 개인정보제공 동의서○ 성적증명서(재학생)○ 재학증명서○ 입학금·등록금 납부 영수증 사본○ 주민등록등본 (본인·부모)○ 가족관계증명서○ 통장 사본 (부모)○ 복지증명서 택 1 (자세한 사항은 첨부파일 참고)※ 자세한 사항은 기관 홈페이지 참조","http://www.samcheok.go.kr/","2024-10-29","2024-11-15"
"378 ","강원도 원주시청","학업성적우수인재","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","○ 직전학기 최소 12학점 이상 이수자○ 1학년 : 1학기 평균성적 4.5(4.3)기준 4.0(3.82) 이상○ 2~4학년 : 직전 두 학기 평균성적 4.5(4.3)기준 4.0(3.82)이상","해당없음","○ 각 300만원","○ 공고일 현재 4년제 대학교 재학생으로 성적 우수자○ 39세(1985년생) 이하","○ 공고일 현재 원주시 관내에 주소를 두고 1년 이상 거주하고 있는 시민의 자녀 또는 본인","○ 1차 서류  심사기준 : 성적(80점) 거주기간(10점) 재산상황(10점) 봉사활동(가점) 혁신도시 공공기관 임직원 자녀(가점)○ 2차 면접","○ 21명","○ 각 분야별 인재육성기금 장학금 수혜자 신청 불가※ 고등학생 수혜자가 졸업 후 대학생으로 신청할 경우에는 가능○ 휴학생·사이버대학·방송통신대학·폴리텍대학 재학생 제외○ 1세대 2인 이상 신청 시 최고점자 1인 선발","해당없음","○ 원주시 우수인재 학습지원 신청서○ 자기소개서 및 서약서○ 개인정보제공동의서○ 학생의 가족관계증명서○ 주민등록초본(주소변동사항 포함)○ 재학증명서 및 성적증명서○ 2023년도 부와 모의 건강보험납부확인서 또는 건강보험자격득실확인서○ 자원봉사실적(해당자)※ 자세한 사항 첨부파일 확인","http://www.wonju.go.kr","2024-07-17","2024-07-31"
"379 ","강원도 원주시청","특정분야우수인재","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","해당없음","○ 300만원※ 학습지원비 명목의 장학금으로 타 장학금과 중복 수혜 가능","○ 공고일 현재 4년제 대학교 재학생○ 공고일 전일부터 1년이내 개인 종목으로 도단위 공인대회 1위 또는 전국단위 공인대회 3위 이내 입상 (과학·수학·언어·예체능 등)○ 39세(1985년성) 이하","○ 공고일 현재 원주시 관내에 주소를 두고 1년 이상 거주하고 있는 시민 또는 그 자녀","○ (1차) 서류평가로 최종 선발  선발기준 : 성적(10점) 거주기간(10점) 재산상황(10점) 수상실적(70점) 혁신도시 공공기관 임직원자녀(가점)※ 동점자 발생시 수상실적/재산상황/거주기간/성적순에 의해 순위 결정","○ 9명","○ 휴학생·사이버대학·방송통신대학·폴리텍대학 재학생○ 각 분야별 인재육성기금 장학금 수혜자 신청 불가○ 1세대 당 상위점수자 1인 선발※ 자세한 사항은 첨부파일 참고","해당없음","○ 원주시 우수인재 학습지원 신청서○ 자기소개서○ 개인정보제공동의서○ 학생의 가족관계증명서○ 주민등록초본(주소변동사항 포함)○ 재학증명서 및 성적증명서○ 2023년도 부와 모의 건강보험납부확인서 또는 건강보험자격득실확인서○ 입상증명서※ 자세한 사항은 첨부파일 참고","http://www.wonju.go.kr","2024-07-17","2024-07-31"
"380 ","강원도 원주시청","주소이전대학생장학금","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","해당없음","○ 1인당 10만원 (학기별 지급)","○ 2025.4.16일까지 관내 대학 기숙사 및 주소지로 전입신고를 마치고 주소지가 원주시인 대학생","해당없음","※ 기관확인 필요","※ 기관확인 필요","○ 휴학생·재외국민·외국인 제외※ 자세한 사항은 기관 홈페이지 참조조","해당없음","○ 학자금 지급신청서○ 재학증명서○ 본인 통장사본※ 자세한 사항은 기관 홈페이지 참조조","http://www.wonju.go.kr","2025-05-01","2025-05-16"
"381 ","강원도 영월군청","이반장자녀장학금(성적우수자)","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ (신입생) 고등학교 최종학년 학과성적이 과목별 석차등급 평균 6등급 이내○ (재학생) 직전(前) 2개 정규학기 성적 평균 4.5만점 기준 3.0 이상 (계절학기 미포함. PASS는 산출 시 제외)","해당없음","○ 연 150만원 범위 내","○ 이·반장 자녀 대학생","○ 영월군에 주민등록이 되어 있는 자","※ 기관확인 필요","○ 25명 내외(특기생 포함. 접수인원 및 예산 범위 내 인원 수 조정)","○ 이·반장 1인당 1자녀만 지급○ 대학원·원격대학 등의 학교 재학생 제외○ 타 장학금 등의 지원으로 등록금 전액 면제인 자 제외○ 타 장학금 수혜 시 납입금액 한도 내 지급○ 장학생이 퇴학·정학 또는 휴학 시 장학금 지급 정지 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학금 신청서○ 성적증명서○ 재학증명서○ 등록금 납입 영수증○ 통장사본○ 주민등록초본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yw.go.kr/","2025-02-20","2025-02-28"
"382 ","강원도 영월군청","이반장자녀장학금(특기생)","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 연 150만원 범위 내 지원","○ 이·반장 자녀 대학생○ 2024. 12. 31. 기준 1년 이내 기능·체육·예능부문 도 단위 이상 대회에서 3위 이상 입상한 대학생","○ 영월군에 주민등록이 되어 있는 학생","※ 기관확인 필요","○ 25명 내외(성적우수자 포함. 접수인원 및 예산 범위 내 인원 수 조정)","○ 이·반장 1인당 1자녀만 지급○ 대학원·원격대학 등의 학교 재학생 제외○ 타 장학금 등의 지원으로 등록금 전액 면제인 자 제외○ 타 장학금 수혜 시 납입금액 한도 내 지급○ 장학생이 퇴학/정학 또는 휴학 시 장학금 지급 정지 가능※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학금 신청서○ 재학증명서○ 등록금 납입 영수증○ 특기생임을 증명할 수 있는 서류○ 통장사본○ 주민등록초본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.yw.go.kr","2025-02-20","2025-02-28"
"383 ","강원도 영월군청","폐광지역저소득층장학금","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 재학생 : 12학점 이상 이수(졸업학기 제외) 및 백분위 환산 점수 70점 이상○ 신입생: 제한 없음※ 자세한 사항은 첨부파일 참조","○ 국민기초생활수급자··차상위계층 복지증명서 발급자 또는 한국장학재단 학자금 지원 1~5구간 해당자(기준 중위소득 100% 이하)※ 자세한 사항은 첨부파일 참조","○ 등록금 등 학기당 3백만원 한도 내 지원(학생회비/ 기숙사비 등 제외)※ 한 학기 등록금 총액 내에서 타장학금 수령액 제외 후 지급※ 자세한 사항은 첨부파일 참조","○ 폐광지역 내 (영월군 전체) 거주 중인 저소득층 대학생 (재학생)※ 자세한 사항은 첨부파일 참조","○ 학생 본인 또는 부모가 공고일 기준 6개월 이전부터 폐광지역 내에 주민등록이 되어 있으며 관할 읍·면·동 주민센터에서 실제 거주여부가 확인되는 자","※ 자세한 사항은 첨부파일 참조","※ 자세한 사항은 기관 담당자에 문의","○ 학기 중 학적변동(휴학·자퇴·퇴학 등)으로 학업을 중단하는 경우○ 평생교육원·외국소재 대학 등 제외※ 자세한 사항은 첨부파일 참조","해당없음","○ 신청서○ 개인정보제공동의서○ 성적증명서 (재학생)○ 재학증명서○ 입학금·등록금 납부 영수증○ 주민등록등본○ 가족관계증명서○ 통장사본○ 복지증명서 (국민기초생활수급자증명서 / 법정차상위대상자 증명서 / 한국장학재단 학자금 지원구간 통지서 중 택1)※ 자세한 사항은 첨부파일 및 홈페이지 공고 참고","https://www.yw.go.kr","2025-04-16","2025-05-23"
"384 ","충청북도 충주시청","장애인및자녀장학금","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/원격대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학기 성적이 C학점 이상인 자","해당없음","○ 240만원 (등록금과 타 장학금의 차액 범위 내에서 지급)","○ 공고일 기준 현재 충주시 주소지 등록장애인 또는 등록장애인의 자녀 중 대학에 재학 중인 자※ 자세한 사항은 첨부파일 참조","○ 공고일 기준 현재 충주시 주소지인 자","○ 충주시장애인복지위원회 심의 선정○ 성적과 가점 합산하여 고득점자 순으로 선정○ 동순위가 있을 경우 : 장애등급이 높은 순으로 선정※ 자세한 사항은 첨부파일 참조","○ 5명","○ 당해연도 졸업반 지원 제외","○ 읍면동장 추천서","○ 장학생 신청서○ 학교장 추천서○ 재학증명서○ 2023년 1학기 또는 직전학기 성적증명서○ (해당자)수급자증명서/ 한부모가족증명서/ 차상위증명서○ 통장사본○ 2023년도 1학기 또는 직전학기 타장학금 수혜(비수혜) 확인서○ 2023년도 1학기 또는 직전학기 등록금납입증명서※ 자세한 사항은 첨부파일 참조","https://www.chungju.go.kr/","2023-09-01","2023-09-25"
"385 ","재단법인괴산군민장학회","농업계열대학진학장학금","지자체(출자출연기관)","장학금","기타","해당없음","해당없음","해당없음","○ (계속지급조건) 직전학년 합계 24학점 이상 수강 및 성적 백분위 환산 평균 75점","해당없음","○ 50만원(년) / 2~4년제별 차등지급","○ 전국 대학 중 농업·축산업·수산업·원예·임업 관련 전공 입학생","○ 공고일 전일 기준 학생 또는 보호자가 관내 주소를 두고 있으며/ 장학생 지급기간 내 학생 또는 보호자가 관내 주소를 두고 있어야 함함","※ 기관확인 필요","※ 기관확인 필요","○ 명문대학교 진학 장학금 및 관내대학교 진학 장학금과 중복 선발 제외○ 최대 7학기 휴학 가능. 이후 휴학 시 장학생 자격 상실※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생 신청서○ 서약서○ 개인정보 수집·이용·제공동의서○ 고등학교 졸업증명서○ 대학교 1학기 등록금 납입증명서○ 주민등록등본○ 통장사본 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.goesan.go.kr/www/index.do","2025-02-24","2025-03-21"
"386 ","재단법인괴산군민장학회","명문대학교합격장학금","지자체(출자출연기관)","장학금","지역연고","특정대학","대학신입생","공학계열/교육계열/사회계열/의약계열/인문계열/자연계열","○ 직전학기 12학점 미만 수강 및 성적 백분위 환산 75점 이상 (미달 시 해당학기 장학금 미지급)","해당없음","○ 관내고 졸업생 : 연 600만원○ 관외고 졸업 및 검정고시 합격생 : 100만원 ~ 300만원○ 경찰대/육·해·공군사관학교 합격생 : 200만원 ~ 500만원※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 명문대학교(대상학교 첨부파일 참조) 합격 입학생(졸업 후 3년 이내 합격)","○ 관내고 졸업생 : 장학생 선발 기간 동안 학생 또는 보호자가 관내 주소를 두고 있어야 함○ 관외고·검정고시 졸업생 : 장학생 선발 기준 1년 이상 학생과 보호자가 모두 관내 주소를 두고 있어야 함","※ 기관확인 필요","※ 기관확인 필요","○ 휴학·제적·재입학 등 학적 변동 시 지급정지○ 휴학 최대 7학기 제한. 이후 휴학 시 장학생 자격 상실 ○ 본교에 동일(유사)전공이 존재하는 캠퍼스(분교) 합격생 제외","해당없음","○ 장학생 신청서○ 서약서○ 개인정보 수집·이용·제공동의서○ 고등학교 졸업증명서○ 대학교 1학기 등록금 납입증명서○ 주민등록등본○ 통장사본※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.goesan.go.kr/www/index.do","2025-02-24","2025-03-21"
"387 ","재단법인괴산군민장학회","관내대학교진학장학","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","○ 직전학기 12학점 미만 수강 및 성적 백분위 환산 75점 미만 시 해당 학기 장학금 미지급","해당없음","○ 4년간 매년 200만원","○ 관외고 졸업/검정고시 합격 후 중원대 입학생(졸업 후 3년 이내 합격자까지 포함)","○ 장학생 선발 기준 학생 또는 보호자가 관내 주소를 두고 있어야 함","※ 기관확인 필요","※ 기관확인 필요","○ 장학금 지급 기간 내 관외 전출 시 자격 상실○ 휴학·제적·재입학 등 학적 변동 시 지급 정지○ 휴학 최대 7학기 제한. 이후 휴학 시 장학생 자격 상실※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생 신청서○ 서약서○ 개인정보 수집이용제공 동의서○ 재학증명서○ 주민등록등본 또는 초본○ 통장사본※ 자세한 사항은 기관 홈페이지 참조","https://www.goesan.go.kr/www/index.do","2025-02-24","2025-03-21"
"388 ","충청남도 아산시청","대학생학자금대출이자지원","지자체(출자출연기관)","학자금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 한국장학재단에서 2016년 2학기 이후 2024년 2학기까지 대출 받은 학자금 중 2024년도 하반기(7월~12월)에 발생한 이자 지원○ 한국장학재단 대출금 상환계좌로 상환(개인별 계좌로 입금되지 않음음)","○ 2016년 2학기 이후 2024년 2학기까지 한국장학재단에서 학자금 대출을 받은 자","○ 공고일 현재 본인 또는 직계존속이 아산시에 1년 이상 계속하여 주민등록이 되어 있는 대학생(재·휴학생)","※ 기관확인 필요","※ 기관확인 필요","○ 졸업생/ 대학원생 제외○ 생활비 제외","해당없음","○ 아산시청 홈페이지에서 온라인 신청  지원신청서  재학증명서  본인 또는 직계존속의 주민등록초본※ 자세한 사항은 홈페이지 공고문 참조","https://www.asan.go.kr","2025-03-24","2025-04-18"
"389 ","재단법인 부여군굿뜨래장학회","재능장학생","지자체(출자출연기관)","장학금","특기자","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 1인당 200만원","○ 공고일 1년 전 예체능·과학·전산·수학 등의 전국규모 대회에서 3위 이내 입상 / 개인전 종목","○ 공고일 1년 전부터 부여군에 주소를 둔 군민 또는 군민의 자녀로 대학교 진학·재학 학생","○ 입상성적을 포함한 선발심사 채점표에 의거 선발○ 상위등수(개인전/3위 이내) >경제적 여건 > 다자녀※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 2명","○ 정규학기 초과 학생은 장학생 신청 불가○ 대학교 재학생 중 직전학기 12학점 미만 수강자는 신청 불가○ 사이버대학 및 학점은행제 대학 지원 불가○ 장학생 신청은 세대별/학교 재학기간별/분야별 1회 한정※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 신청서○ 직전학기 성적증명서○ 재학증명서(대학 합격증)○ 주민등록등본 또는 초본(주소이력 포함)○ 가족관계증명서○ 2024년 건강보험료 납부확인서 2통(부·모 각각 1통)○ 공고일 1년 전 예체능·과학·전산·수학 등의 전국규모 대회에서 3위 이내 성적증명서 / 개인전※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.buyeo.go.kr","2025-01-31","2025-02-14"
"390 ","재단법인 부여군굿뜨래장학회","향토장학생","지자체(출자출연기관)","장학금","지역연고","특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학기 12학점 이상 수강자","해당없음","○ 200만원","○ 관내 고등학교(5개 고교) 졸업자 중 현재 한국전통문화대학교에 재학중인 학생","○ 공고일 1년 전부터 부여군에 주소를 둔 군민 또는 군민의 자녀로 대학교 진학·재학 학생","○ 경제적 여건 > 성적 > 다자녀","○ 2명","○ 부여군 장학금 중복지원 불가○ 한 세대에 한 명만 지원 가능○ 재학기간 중 1번만 선발 가능○ 사이버대학 및 학점은행제 대학은 지원 불가※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 신청서○ 직전학기 성적증명서○ 한국전통문화대학교 재학증명서○ 가족관계증명서○ 주민등록등본 또는 초본(주소이력 포함)○ 2024년 건강보험료 납부확인서 2통(부·모 각각 1통) ○ 관내고교 졸업증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.buyeo.go.kr","2025-01-31","2025-02-14"
"391 ","재단법인 부여군굿뜨래장학회","성적우수장학생","지자체(출자출연기관)","장학금","성적우수","해당없음","해당없음","해당없음","○ 직전학기 성적이 평균 B학점(3.0) 이상인 재학생○ 직전학기 12학점 이상 수강자","해당없음","○ 200만원(생활비 장학금)","해당없음","○ 공고일 1년 전부터 부여군에 주소를 둔 군민 또는 군민의 자녀로 대학교 진학·재학 학생","○ 성적 50점 + 경제적 여건 40점 + 다자녀 5점 + 재난재해 피해가정 5점","○ 84명※ 전통문화대학교 : 7명 / 그 외 대학교 : 77명※ 다자녀세대 전형과 성적우수 전형 통합선발","○ 정규학기 초과 학생 및 휴학생○ 대학교 재학생 중 직전학기 12학점 미만 수강자○ 사이버대학 및 학점은행제 대학 지원 불가○ 국가/학교 장학금 외 부여군 장학금 중복지원자○ 한 세대 한 명/하나의 분야만 신청 가능○ 재학기간 중 1번만 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 신청서○ 주민등록등본 또는 초본(주소이력 포함)○ 가족관계증명서(신청자 본인 기준 발급)  다자녀 가산점 필요시 부 또는 모 기준 가족관계증명서 추가 제출○ 재학증명서(대학합격증)○ 직전학기 성적증명서○ 2024년 건강보험료 납부확인서 2통(부·모 각 1통)○ 재난재해 피해가정 증명자료(해당자)  피해사실확인서(24년도 기준)※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.buyeo.go.kr","2025-01-31","2025-02-14"
"392 ","재단법인 부여군굿뜨래장학회","장애인장학생","지자체(출자출연기관)","장학금","장애인","해당없음","해당없음","해당없음","해당없음","해당없음","○ 200만원(생활비 장학금)","○ 장애인 학생","○ 공고일 1년 전부터 부여군에 주소를 둔 군민 또는 군민의 자녀로 대학교 진학·재학 학생","○ 장애의 정도 > 경제적 여건 > 성적 > 다자녀","○ 3명","○ 정규학기 초과 학생 및 휴학생○ 대학교 재학생 중 직전학기 12학점 미만 수강자○ 사이버대학 및 학점은행제 대학 지원 불가○ 국가/학교 장학금 외 부여군 장학금 중복지원자○ 한 세대 한 명/하나의 분야만 신청 가능○ 재학기간 중 1번만 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 신청서○ 주민등록등본 또는 초본(주소이력 포함)○ 가족관계증명서(신청자 본인 기준 발급)  다자녀 가산점 필요시 부 또는 모 기준 가족관계증명서 추가 제출○ 재학증명서(대학합격증)○ 직전학기 성적증명서○ 2024년 건강보험료 납부확인서 2통(부·모 각 1통)○ 장애인증명서 또는 장애인 등록증※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.buyeo.go.kr","2025-01-31","2025-02-14"
"393 ","재단법인 부여군굿뜨래장학회","다문화장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 200만원(생활비 장학금)","○ 다문화 가정 자녀","○ 공고일 1년 전부터 부여군에 주소를 둔 군민 또는 군민의 자녀로 대학교 진학·재학 학생","○ 경제적 여건 > 성적 > 다자녀","○ 5명","○ 정규학기 초과 학생 및 휴학생○ 대학교 재학생 중 직전학기 12학점 미만 수강자○ 사이버대학 및 학점은행제 대학 지원 불가○ 국가/학교 장학금 외 부여군 장학금 중복지원자○ 한 세대 한 명/하나의 분야만 신청 가능○ 재학기간 중 1번만 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 신청서○ 주민등록등본 또는 초본(주소이력 포함)○ 재학증명서(대학합격증)○ 직전학기 성적증명서○ 2024년 건강보험료 납부확인서 2통(부·모 각 1통)○ 귀화 가족의 기본증명서○ 가족관계증명서(신청자 본인 기준 발급)※ 귀화 가족과의 관계가 나타나야 함  다자녀 가산점 필요시 부 또는 모 기준 가족관계증명서 추가 제출※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.buyeo.go.kr","2025-01-31","2025-02-14"
"394 ","재단법인 부여군굿뜨래장학회","추천장학생","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","해당없음","해당없음","○ 200만원(생활비 장학금)","○ 재경·재인천·재전 군민회와 부여군기업인협의회 회원 자녀","○ 공고일 1년 전부터 부여군에 주소를 둔 군민 또는 군민의 자녀로 대학교 진학·재학 학생※ 주소 미적용 : 재경·재인천·재전 군민회","※ 기관확인 필요※ 재경·재인천·재전 군민회/부여군기업인협의회 추천에 의해 장학회에서 선발","○ 군민회(재경·재인천·재전) : 각 1명씩 총 3명○ 부여군기업인협의회 : 1명","○ 정규학기 초과 학생 및 휴학생○ 대학교 재학생 중 직전학기 12학점 미만 수강자○ 사이버대학 및 학점은행제 대학 지원 불가○ 국가/학교 장학금 외 부여군 장학금 중복지원자○ 한 세대 한 명/하나의 분야만 신청 가능○ 재학기간 중 1번만 선발※ 자세한 사항은 첨부파일 또는 홈페이지 참고","○ 재경·재인천·재전 군민회/부여군기업인협의회에서 추천","○ 신청서○ 주민등록등본 또는 초본(주소이력 포함)○ 가족관계증명서(신청자 본인 기준 발급)  다자녀 가산점 필요시 부 또는 모 기준 가족관계증명서 추가 제출○ 재학증명서(대학합격증)○ 직전학기 성적증명서○ 2024년 건강보험료 납부확인서 2통(부·모 각 1통)○ 군민회 및 부여군기업인협의회 추천서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.buyeo.go.kr","2025-01-31","2025-02-14"
"395 ","재단법인 천안사랑장학재단","천안사랑장학금","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 20241학기 12학점이상 취득자","해당없음","○ 180만원","○ 봉사부문 : 봉사시간 80시간 이상인 학생 (인정기간 : 2023/8/1 ~ 2024/7/31)○ 다문화 부문 : 다문화 가정의 학생○ 다자녀 부문 : 자녀가 3인 이상인 가정의 학생○ 새터민 부문 : 새터민 가정의 학생이거나 본인이 새터민인 학생","○ 공고일 현재 본인이나 부 또는 모(보호자)가 천안시에 1년 이상 계속해서 주민등록을 두고 거주하는 국내 대학 재학생","○ 1차 서류검토(천안시 거주여부/중복지원 여부 등)○ 2차 이중수혜 확인○ 3차 장학생 선발위원회○ 4차 이사회 선발 확정○ 해당자격 50% +  생활정도(학자금지원구간) 30% + 성적 20%","○ 총 50명  봉사 5명/다문화 15명/다자녀 25명/새터민 5명","○ 재학 상태 아닌 경우 제외○ 1세대 1명 신청 가능○ 장학금별 중복 신청 불가","해당없음","○ 천안사랑장학금 신청서○ 주민등록 초본(뒷자리 표기)○ 재학증명서○ 2024년도 1학기 성적증명서○ 2024년도 2학기 학자금지원구간 통지서○ 개인(신용)정보 수집·이용·제공 및 조회 동의서○ 통장사본○ 장학금 별 추가서류※ 자세한 사항은 첨부파일 참조","https://www.cheonan.go.kr ","2024-08-28","2024-09-06"
"396 ","재단법인 천안사랑장학재단","우수장학금","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학기 평점 4.5만점 기준 3.5(B+)이상인 학생○ 12학점 이상 취득자○ 복학생의 경우 휴학직전 학기 성적 기재○ 해외학점교류대학 학생또는 교환학생의 경우 4.5만점 또는 4.3점의 성적이 기재 된 성적증명서가 있을 경우만 인정","해당없음","○ 180만원","해당없음","○ 공고일 현재 본인이나 부 또는 모(보호자)가 천안시에 1년 이상 계속해서 주민등록을 두고 거주하는 국내 대학 재학생","○ 성적 80% + 생활정도 20%","○ 38명","○ 재학 상태 아닌 경우 제외○ 1세대 1명 신청 가능○ 장학금별 중복 신청 불가","해당없음","○ 장학금 신청서 1부○ 주민등록 초본(뒷자리 표기)○ 재학증명서○ 2024년도 1학기 성적증명서○ 2024년도 2학기 학자금지원구간통지서○ 개인(신용)정보 수집·이용·제공 및 조회 동의서○ 통장사본○ 봉사시간(가산점) 증빙서류 (해당자)※ 자세한 사항은 첨부파일 또는 홈페이지 게시판 참고","https://www.cheonan.go.kr ","2024-08-28","2024-09-06"
